==================================================
Date: 2023-05-14 14:39:35 

Scanner options: 
		[1mport: [0m top 1000 ports
		[1mscan mode: [0mno mode selected
==================================================
[1mTYPE      PORT  STATUS    SERVICE[0m
TCP       3306  OPEN      mysql
TCP       5432  OPEN      postgresql
TCP         21  OPEN      ftp
TCP         22  OPEN      ssh
TCP        110  OPEN      pop3
TCP         80  OPEN      http
TCP        143  OPEN      imap2
TCP        443  OPEN      https
TCP        465  OPEN      submissions
TCP        587  OPEN      submission
TCP        995  OPEN      pop3s
TCP        993  OPEN      imaps
